<3> 2019-04-27 10:01:34  DM_Get_User_info, <In>
<3> 2019-04-27 10:01:34  DM_Get_User_info, success
<3> 2019-04-27 10:01:34  DM_Get_Net_info, <In>
<3> 2019-04-27 10:01:34  DM_Get_Net_info, success
<3> 2019-04-27 10:01:34  DM_Open, success
<3> 2019-04-27 10:01:34  DM_Close, success
<3> 2019-04-27 10:01:57  DM_Log_Init, success
<3> 2019-04-27 10:01:57  DM_Get_Sys_Info, <In>
<3> 2019-04-27 10:01:57  DM_Get_Sys_Info, success
<3> 2019-04-27 10:01:57  DM_Get_User_info, <In>
<3> 2019-04-27 10:01:57  DM_Get_User_info, success
<3> 2019-04-27 10:01:57  DM_Get_Net_info, <In>
<3> 2019-04-27 10:01:57  DM_Get_Net_info, success
<3> 2019-04-27 10:01:57  DM_Open, success
<3> 2019-04-27 10:01:57  DM_Close, success
<3> 2019-04-27 10:02:40  DM_Log_Init, success
<3> 2019-04-27 10:02:40  DM_Get_Sys_Info, <In>
<3> 2019-04-27 10:02:40  DM_Get_Sys_Info, success
<3> 2019-04-27 10:02:40  DM_Get_User_info, <In>
<3> 2019-04-27 10:02:40  DM_Get_User_info, success
<3> 2019-04-27 10:02:40  DM_Get_Net_info, <In>
<3> 2019-04-27 10:02:41  DM_Get_Net_info, success
<3> 2019-04-27 10:02:41  DM_Open, success
<3> 2019-04-27 10:02:41  DM_Close, success
<3> 2019-04-27 10:09:32  DM_Log_Init, success
<3> 2019-04-27 10:09:32  DM_Get_Sys_Info, <In>
<3> 2019-04-27 10:09:32  DM_Get_Sys_Info, success
<3> 2019-04-27 10:09:32  DM_Get_User_info, <In>
<3> 2019-04-27 10:09:32  DM_Get_User_info, success
<3> 2019-04-27 10:09:32  DM_Get_Net_info, <In>
<3> 2019-04-27 10:09:32  DM_Get_Net_info, success
<3> 2019-04-27 10:09:32  DM_Open, success
<3> 2019-04-27 10:09:32  DM_Close, success
<3> 2019-04-27 14:03:25  DM_Log_Init, success
<3> 2019-04-27 14:03:25  DM_Get_Sys_Info, <In>
<3> 2019-04-27 14:03:25  DM_Get_Sys_Info, success
<3> 2019-04-27 14:03:25  DM_Get_User_info, <In>
<3> 2019-04-27 14:03:25  DM_Get_User_info, success
<3> 2019-04-27 14:03:25  DM_Get_Net_info, <In>
<3> 2019-04-27 14:03:25  DM_Get_Net_info, success
<3> 2019-04-27 14:03:25  DM_Open, success
<3> 2019-04-27 14:03:25  DM_Close, success
<3> 2019-04-27 14:04:21  DM_Log_Init, success
<3> 2019-04-27 14:04:21  DM_Get_Sys_Info, <In>
<3> 2019-04-27 14:04:21  DM_Get_Sys_Info, success
<3> 2019-04-27 14:04:21  DM_Get_User_info, <In>
<3> 2019-04-27 14:04:21  DM_Get_User_info, success
<3> 2019-04-27 14:04:21  DM_Get_Net_info, <In>
